time_step,fraction_stopped_road1_mean,fraction_stopped_road1_std,fraction_stopped_road2_mean,fraction_stopped_road2_std
0,0.6960000000000002,0.06329472507422897,0.7063333333333334,0.07252509144350593
1,0.4756666666666663,0.06478254222996949,0.4516666666666665,0.06853628398317364
2,0.47133333333333327,0.08137976816547628,0.44,0.0825967446224258
3,0.41766666666666646,0.08465026087772363,0.4166666666666665,0.07951240294584375
4,0.3873333333333331,0.0820270957942828,0.4043333333333334,0.08050603842086763
5,0.3670000000000001,0.08850549261047147,0.40166666666666656,0.0801907448247961
6,0.3496666666666667,0.07738719388747584,0.3969999999999999,0.07631732000885078
7,0.34,0.0835330939076111,0.39199999999999974,0.07917912182724264
8,0.33166666666666655,0.08398081791562753,0.39166666666666666,0.08129165598838131
9,0.3183333333333333,0.08924062353485038,0.38799999999999973,0.076524505878836
10,0.3039999999999999,0.08683061416087963,0.38966666666666655,0.07081980262923958
11,0.2956666666666666,0.08839997486173598,0.38299999999999984,0.0762299153875957
12,0.285,0.08645808232895288,0.38233333333333336,0.077381450547847
13,0.27499999999999997,0.08811293258590869,0.3803333333333332,0.07917561352953177
14,0.26633333333333326,0.08812806338253185,0.3786666666666666,0.08518215775618744
15,0.25733333333333325,0.09178235124467013,0.38233333333333314,0.08075408486400067
16,0.24933333333333318,0.09398345007972886,0.3819999999999999,0.07894020240381673
17,0.24533333333333343,0.09457742272280888,0.3833333333333332,0.0821245666316995
18,0.22899999999999998,0.0920935514692653,0.3793333333333333,0.07742810285103928
19,0.22766666666666674,0.09117199862530893,0.38233333333333325,0.08900124843069462
20,0.22400000000000003,0.09429033177726481,0.3806666666666665,0.08435111801933103
21,0.21666666666666662,0.09386751893552482,0.37999999999999984,0.09660917830792953
22,0.21233333333333337,0.09996165931662669,0.3896666666666665,0.09161453062818274
23,0.20366666666666666,0.09473882226650508,0.38166666666666643,0.09157571245210765
24,0.20066666666666677,0.0946314488482086,0.3843333333333331,0.09302986378338703
25,0.19566666666666663,0.10194279441595337,0.38666666666666644,0.08755950357709132
26,0.1946666666666667,0.09401181958787003,0.3853333333333331,0.08142071808411747
27,0.18599999999999997,0.10678951259369993,0.3773333333333332,0.08779774737682308
28,0.18766666666666665,0.10106708443185428,0.3753333333333332,0.08558556472261479
29,0.17999999999999988,0.10360180178613365,0.3716666666666666,0.08344991844746702
30,0.17799999999999985,0.10101925009070745,0.36499999999999977,0.08874119674649426
31,0.1729999999999999,0.1016196612647157,0.36499999999999994,0.08318319808978526
32,0.17199999999999988,0.09436571882250931,0.36566666666666636,0.08912600318899329
33,0.16666666666666655,0.09649409884086754,0.36666666666666636,0.09333333333333331
34,0.1656666666666666,0.09700572720778451,0.3649999999999999,0.09596006113656524
35,0.16333333333333325,0.09871395263307231,0.365,0.08998456657795395
36,0.15633333333333319,0.09448045065279677,0.3693333333333332,0.09100427340393293
37,0.15466666666666654,0.09037207041509622,0.36966666666666653,0.09044273817664349
38,0.1506666666666666,0.09110189655301118,0.36899999999999994,0.08708297448091931
39,0.1513333333333332,0.09060537143753307,0.3693333333333333,0.08160609998986322
40,0.14533333333333326,0.08544263832797094,0.3709999999999999,0.07537388289203506
41,0.14266666666666655,0.09429033177726479,0.3756666666666665,0.08053363686477018
42,0.14233333333333323,0.08779458348263232,0.37733333333333313,0.07758579480520617
43,0.14399999999999988,0.08652295777550731,0.3809999999999998,0.0869552886385999
44,0.13766666666666655,0.07995206897468839,0.37533333333333324,0.08532552047567271
45,0.12933333333333322,0.08410046901705659,0.3676666666666664,0.08812302007232085
46,0.13166666666666654,0.0769379259172253,0.37033333333333324,0.08690927581232177
47,0.12366666666666658,0.08476044675043502,0.36700000000000005,0.0838643083929166
48,0.1323333333333332,0.07992426971132666,0.37,0.09036961141150644
49,0.12333333333333327,0.07810249675906654,0.3679999999999999,0.09066666666666663
50,0.1289999999999999,0.07883245242636787,0.36533333333333323,0.08792926450025354
51,0.11766666666666657,0.07781102464018548,0.3666666666666664,0.09177266598624134
52,0.11866666666666659,0.07605845705040887,0.3666666666666665,0.09140872800534727
53,0.11733333333333323,0.07505257416563994,0.36933333333333324,0.09529836188402073
54,0.11699999999999992,0.07078841713161835,0.379,0.09329225286402108
