rho,N,mean_flow_rate_acc,mean_flow_rate_no_acc,mean_fraction_stopped_road1,mean_fraction_stopped_road2
0.05,3,3.991666666666667,3.8896666666666664,0.0003333333333333333,0.001
0.1,6,3.9805,3.894666666666667,0.0018333333333333333,0.0003333333333333333
0.15,9,3.9861111111111107,3.8668888888888886,0.0004444444444444444,0.0017777777777777774
0.2,12,3.956833333333333,3.859583333333333,0.0014166666666666668,0.0018333333333333333
0.25,15,2.9798,1.888,0.0092,0.0608
0.3,18,2.3245555555555555,1.904,0.02455555555555556,0.06638888888888889
0.35,21,1.856571428571429,1.8842857142857143,0.0720952380952381,0.07080952380952381
0.39999999999999997,23,1.607913043478261,1.847695652173913,0.07795652173913042,0.12578260869565216
0.44999999999999996,26,1.3063846153846155,1.6670384615384615,0.06026923076923076,0.28511538461538466
0.49999999999999994,29,1.071655172413793,1.3757241379310343,0.10031034482758619,0.2818275862068966
0.5499999999999999,32,0.918625,1.1415625,0.126125,0.456125
0.6,36,0.7903888888888889,0.8598888888888888,0.22886111111111113,0.5752222222222222
0.65,39,0.6712307692307693,0.7095641025641025,0.3399487179487179,0.6208461538461538
0.7,42,0.5472380952380952,0.5657380952380952,0.4586428571428572,0.6753809523809523
0.75,45,0.4283555555555556,0.4402888888888889,0.5768222222222221,0.7454666666666667
0.7999999999999999,47,0.361531914893617,0.36893617021276587,0.6408510638297871,0.7708723404255319
0.85,51,0.23590196078431375,0.23625490196078433,0.7659803921568629,0.8169019607843138
0.9,54,0.14766666666666667,0.14866666666666667,0.8529074074074073,0.8901666666666668
0.95,57,0.07240350877192982,0.07368421052631578,0.9277719298245614,0.9305263157894736
1.0,60,0.0079,0.00375,0.9922166666666667,0.99675
